,State,Value
0,Alabama,"108,506.2"
1,Alaska *,"20,020.3"
2,Arizona,"134,952.0"
3,Arkansas,"61,136.6"
4,California,"1,135,314.5"
5,Colorado,"147,234.3"
6,Connecticut,"147,015.2"
7,District of Columbia,"24,786.5"
8,Delaware,"26,628.5"
9,Florida,"471,082.2"
10,Georgia,"236,810.4"
11,Hawaii *,"35,852.4"
12,Idaho,"32,601.2"
13,Illinois,"413,443.2"
14,Indiana,"171,415.2"
15,Iowa,"80,650.6"
16,Kansas,"76,242.9"
17,Kentucky,"100,894.3"
18,Louisiana,"107,071.5"
19,Maine,"35,055.9"
20,Maryland,"188,926.2"
21,Massachusetts,"245,392.0"
22,Michigan,"301,661.7"
23,Minnesota,"159,119.3"
24,Mississippi,"61,799.1"
25,Missouri,"157,162.6"
26,Montana,"20,962.8"
27,Nebraska,"49,898.3"
28,Nevada,"64,576.3"
29,New Hampshire,"44,073.5"
30,New Jersey,"331,307.3"
31,New Mexico,"42,212.8"
32,New York,"684,897.9"
33,North Carolina,"221,868.1"
34,North Dakota,"16,805.0"
35,Ohio,"325,951.6"
36,Oklahoma,"83,363.9"
37,Oregon,"97,773.2"
38,Pennsylvania,"374,404.6"
39,Rhode Island,"31,953.8"
40,South Carolina,"101,161.0"
41,South Dakota,"20,325.0"
42,Tennessee,"155,574.4"
43,Texas,"589,618.3"
44,Utah,"55,060.1"
45,Vermont,"17,627.4"
46,Virginia,"232,033.6"
47,Washington,"194,207.1"
48,West Virginia,"40,452.6"
49,Wisconsin,"158,927.6"
50,Wyoming,"14,514.3"
