,State,Value
0,Alabama,"161,965.5"
1,Alaska *,"35,162.9"
2,Arizona,"215,012.4"
3,Arkansas,"93,103.2"
4,California,"1,627,839.0"
5,Colorado,"204,691.9"
6,Connecticut,"222,631.7"
7,District of Columbia,"38,513.9"
8,Delaware,"36,707.2"
9,Florida,"725,801.1"
10,Georgia,"335,318.0"
11,Hawaii *,"57,101.4"
12,Idaho,"50,144.5"
13,Illinois,"540,463.8"
14,Indiana,"229,477.3"
15,Iowa,"116,353.1"
16,Kansas,"112,682.3"
17,Kentucky,"144,009.2"
18,Louisiana,"170,476.9"
19,Maine,"50,253.6"
20,Maryland,"288,606.6"
21,Massachusetts,"348,418.9"
22,Michigan,"348,673.3"
23,Minnesota,"225,594.1"
24,Mississippi,"91,929.3"
25,Missouri,"220,546.6"
26,Montana,"35,558.2"
27,Nebraska,"74,787.3"
28,Nevada,"101,205.2"
29,New Hampshire,"62,306.3"
30,New Jersey,"452,322.6"
31,New Mexico,"69,262.0"
32,New York,"954,364.5"
33,North Carolina,"340,764.3"
34,North Dakota,"29,446.2"
35,Ohio,"423,062.1"
36,Oklahoma,"137,327.5"
37,Oregon,"138,328.2"
38,Pennsylvania,"533,828.4"
39,Rhode Island,"45,154.8"
40,South Carolina,"150,451.8"
41,South Dakota,"33,512.3"
42,Tennessee,"227,763.4"
43,Texas,"966,900.3"
44,Utah,"89,346.0"
45,Vermont,"25,787.1"
46,Virginia,"364,382.5"
47,Washington,"286,732.3"
48,West Virginia,"60,061.5"
49,Wisconsin,"221,895.3"
50,Wyoming,"25,967.1"
