,State,Value
0,Alabama,"100,081.0"
1,Alaska *,"18,046.0"
2,Arizona,"117,363.6"
3,Arkansas,"55,917.1"
4,California,"962,746.1"
5,Colorado,"122,314.7"
6,Connecticut,"126,866.7"
7,District of Columbia,"21,525.5"
8,Delaware,"22,495.3"
9,Florida,"415,546.7"
10,Georgia,"205,109.4"
11,Hawaii *,"32,703.4"
12,Idaho,"28,286.0"
13,Illinois,"368,119.4"
14,Indiana,"154,513.7"
15,Iowa,"73,576.3"
16,Kansas,"69,987.2"
17,Kentucky,"89,738.3"
18,Louisiana,"98,923.7"
19,Maine,"30,941.3"
20,Maryland,"163,365.5"
21,Massachusetts,"206,746.1"
22,Michigan,"269,062.1"
23,Minnesota,"139,858.7"
24,Mississippi,"56,804.4"
25,Missouri,"141,141.5"
26,Montana,"19,268.9"
27,Nebraska,"45,067.4"
28,Nevada,"54,524.9"
29,New Hampshire,"36,646.2"
30,New Jersey,"286,990.2"
31,New Mexico,"38,228.5"
32,New York,"600,536.3"
33,North Carolina,"198,159.7"
34,North Dakota,"15,195.7"
35,Ohio,"299,075.5"
36,Oklahoma,"75,061.7"
37,Oregon,"86,862.9"
38,Pennsylvania,"335,664.4"
39,Rhode Island,"28,279.8"
40,South Carolina,"89,796.5"
41,South Dakota,"18,240.7"
42,Tennessee,"141,380.9"
43,Texas,"514,479.6"
44,Utah,"48,820.8"
45,Vermont,"15,303.7"
46,Virginia,"199,656.0"
47,Washington,"169,625.8"
48,West Virginia,"37,281.5"
49,Wisconsin,"143,010.5"
50,Wyoming,"12,656.3"
