,State,Value
0,Alabama,"103,536.0"
1,Alaska *,"18,603.1"
2,Arizona,"124,099.5"
3,Arkansas,"58,129.5"
4,California,"1,028,383.3"
5,Colorado,"132,205.0"
6,Connecticut,"134,176.3"
7,District of Columbia,"22,511.9"
8,Delaware,"24,140.1"
9,Florida,"435,726.0"
10,Georgia,"218,793.4"
11,Hawaii *,"33,864.3"
12,Idaho,"30,123.4"
13,Illinois,"384,036.2"
14,Indiana,"160,747.0"
15,Iowa,"75,468.2"
16,Kansas,"72,284.1"
17,Kentucky,"93,539.1"
18,Louisiana,"101,339.5"
19,Maine,"32,545.6"
20,Maryland,"173,600.1"
21,Massachusetts,"220,850.9"
22,Michigan,"282,875.7"
23,Minnesota,"146,941.7"
24,Mississippi,"58,632.9"
25,Missouri,"147,025.0"
26,Montana,"19,676.2"
27,Nebraska,"47,166.3"
28,Nevada,"58,885.5"
29,New Hampshire,"39,087.8"
30,New Jersey,"300,848.1"
31,New Mexico,"39,182.2"
32,New York,"636,314.9"
33,North Carolina,"208,306.3"
34,North Dakota,"15,428.7"
35,Ohio,"309,265.5"
36,Oklahoma,"77,067.9"
37,Oregon,"90,547.8"
38,Pennsylvania,"349,848.2"
39,Rhode Island,"29,640.0"
40,South Carolina,"94,407.8"
41,South Dakota,"19,094.0"
42,Tennessee,"147,003.9"
43,Texas,"541,693.7"
44,Utah,"51,414.4"
45,Vermont,"16,302.6"
46,Virginia,"213,981.6"
47,Washington,"181,364.8"
48,West Virginia,"38,282.6"
49,Wisconsin,"149,069.7"
50,Wyoming,"13,504.8"
