"FDIC - Statistics on Depository Institutions Report"

"","","","","All Institutions - National","","","All Institutions - National","","","All Institutions - National","","","All Institutions - National",
"","","","","12/31/2016","","","9/30/2016","","","6/30/2016","","","3/31/2016",
"","","","","$ in 000's","","","$ in 000's","","","$ in 000's","","","$ in 000's",
"","","","","Total (Sum)","","","Total (Sum)","","","Total (Sum)","","","Total (Sum)",
"1","Number of institutions reporting","","instcnt","5913","","instcnt","5980","","instcnt","6058","","instcnt","6122",
"Past Due and Nonaccrual Assets","","",""," ","",""," ","",""," ","",""," ",
"2","Assets past due 30 - 89 days *","","p3asset","65,888,277","","p3asset","60,171,064","","p3asset","58,192,261","","p3asset","58,775,741",
"3","Loans secured by real estate, total","","p3re","34,246,027","","p3re","32,521,207","","p3re","32,386,539","","p3re","33,489,920",
"4","To non-U.S. addressees","","p3renus","211,347","","p3renus","197,274","","p3renus","199,265","","p3renus","246,654",
"5","Real estate loans in domestic offices","","idp3redm","34,101,326","","idp3redm","32,370,407","","idp3redm","32,217,522","","idp3redm","33,327,017",
"6","Construction and land development","","p3recons","1,002,740","","p3recons","977,879","","p3recons","1,006,468","","p3recons","1,054,741",
"7","1-4 family residential construction	","","p3recnfm","332,366","","p3recnfm","242,751","","p3recnfm","283,773","","p3recnfm","258,985",
"8","Other construction, all land development and other land	","","p3recnot","670,374","","p3recnot","735,128","","p3recnot","722,695","","p3recnot","795,756",
"9","Secured by farmland","","p3reag","452,117","","p3reag","393,389","","p3reag","475,116","","p3reag","639,184",
"10","Secured by 1-4 family residential properties","","p3reres","28,837,441","","p3reres","27,233,132","","p3reres","27,372,686","","p3reres","27,770,109",
"11","Secured by multifamily residential properties","","p3remult","496,415","","p3remult","443,775","","p3remult","385,904","","p3remult","451,889",
"12","Secured by nonfarm nonresidential properties","","p3renres","3,312,613","","p3renres","3,322,232","","p3renres","2,977,348","","p3renres","3,411,094",
"13","Owner-occupied non-farm non-residential","","p3renrow","1,876,274","","p3renrow","1,712,629","","p3renrow","1,582,676","","p3renrow","1,763,315",
"14","Other non-farm non-residential","","p3renrot","1,436,339","","p3renrot","1,609,603","","p3renrot","1,394,672","","p3renrot","1,647,779",
"15","Real estate loans in foreign offices","","p3refor","144,701","","p3refor","150,800","","p3refor","169,017","","p3refor","162,903",
"16","Loans to depository institutions","","p3dep","22,886","","p3dep","33","","p3dep","174","","p3dep","3,010",
"17","To foreign banks","","p3depnus","6,034","","p3depnus","0","","p3depnus","0","","p3depnus","3,000",
"18","Loans to finance agricultural production and other loans to farmers","","p3ag","42,979","","p3ag","52,416","","p3ag","78,985","","p3ag","69,542",
"19","Commercial and industrial loans","","p3ci","5,459,896","","p3ci","4,708,053","","p3ci","4,896,650","","p3ci","5,195,939",
"20","To non-U.S. addressees","","p3cinus","348,639","","p3cinus","299,448","","p3cinus","205,894","","p3cinus","262,601",
"21","Loans to individuals","","p3con","22,750,645","","p3con","20,258,461","","p3con","18,424,245","","p3con","17,034,836",
"22","Credit cards","","p3crcd","10,340,377","","p3crcd","9,731,300","","p3crcd","8,509,070","","p3crcd","7,901,158",
"23","Automobile loans","","p3auto","8,503,022","","p3auto","7,147,176","","p3auto","6,695,771","","p3auto","5,835,906",
"24","Other consumer loans","","p3conoth","3,907,246","","p3conoth","3,379,985","","p3conoth","3,219,404","","p3conoth","3,297,772",
"25","Loans to foreign governments and official institutions","","p3fg","206,000","","p3fg","0","","p3fg","0","","p3fg","0",
"26","Other loans","","p3othln","2,170,091","","p3othln","1,960,876","","p3othln","1,756,644","","p3othln","2,109,082",
"27","Lease financing receivables","","p3ls","783,218","","p3ls","593,915","","p3ls","561,574","","p3ls","789,961",
"28","Debt securities and other assets","","p3scdebt","206,535","","p3scdebt","76,103","","p3scdebt","87,450","","p3scdebt","83,451",
" ","Memoranda (included above): "
"29","Loans to finance agricultural prod and other loans to farmers (small)","","p3agsm","234,842","","p3agsm","252,780","","p3agsm","250,137","","p3agsm","521,448",
"30","Loans held for sale","","p3lnsale","723,280","","p3lnsale","536,106","","p3lnsale","481,620","","p3lnsale","442,751",
