"FDIC - Statistics on Depository Institutions Report"

"","","","","All Institutions - National","","","All Institutions - National","","","All Institutions - National","","","All Institutions - National",
"","","","","12/31/2013","","","9/30/2013","","","6/30/2013","","","3/31/2013",
"","","","","$ in 000's","","","$ in 000's","","","$ in 000's","","","$ in 000's",
"","","","","Total (Sum)","","","Total (Sum)","","","Total (Sum)","","","Total (Sum)",
"1","Number of institutions reporting","","instcnt","6812","","instcnt","6891","","instcnt","6940","","instcnt","7019",
"Past Due and Nonaccrual Assets","","",""," ","",""," ","",""," ","",""," ",
"2","Assets past due 30 - 89 days *","","p3asset","76,325,900","","p3asset","73,216,897","","p3asset","75,649,732","","p3asset","80,306,892",
"3","Loans secured by real estate, total","","p3re","49,424,474","","p3re","48,491,399","","p3re","51,492,593","","p3re","55,182,112",
"4","To non-U.S. addressees","","p3renus","318,959","","p3renus","283,430","","p3renus","373,033","","p3renus","443,932",
"5","Real estate loans in domestic offices","","idp3redm","49,124,021","","idp3redm","48,177,215","","idp3redm","51,131,941","","idp3redm","54,774,218",
"6","Construction and land development","","p3recons","1,314,039","","p3recons","1,597,371","","p3recons","1,635,120","","p3recons","2,100,990",
"7","1-4 family residential construction	","","p3recnfm","311,443","","p3recnfm","288,751","","p3recnfm","289,465","","p3recnfm","338,166",
"8","Other construction, all land development and other land	","","p3recnot","1,002,596","","p3recnot","1,308,620","","p3recnot","1,345,655","","p3recnot","1,762,824",
"9","Secured by farmland","","p3reag","378,202","","p3reag","355,441","","p3reag","422,695","","p3reag","495,296",
"10","Secured by 1-4 family residential properties","","p3reres","41,095,463","","p3reres","39,950,285","","p3reres","41,767,557","","p3reres","43,654,111",
"11","Secured by multifamily residential properties","","p3remult","879,671","","p3remult","831,692","","p3remult","937,240","","p3remult","1,220,915",
"12","Secured by nonfarm nonresidential properties","","p3renres","5,456,646","","p3renres","5,442,426","","p3renres","6,369,329","","p3renres","7,302,906",
"13","Owner-occupied non-farm non-residential","","p3renrow","2,819,362","","p3renrow","2,569,094","","p3renrow","2,918,668","","p3renrow","3,276,654",
"14","Other non-farm non-residential","","p3renrot","2,637,284","","p3renrot","2,873,332","","p3renrot","3,450,661","","p3renrot","4,026,252",
"15","Real estate loans in foreign offices","","p3refor","300,453","","p3refor","314,184","","p3refor","360,652","","p3refor","407,894",
