FDIC - Statistics on Depository Institutions Report,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,All Institutions - National,,,All Institutions - National,,,All Institutions - National,,,All Institutions - National
,,,,12/31/2011,,,9/30/2011,,,6/30/2011,,,3/31/2011
,,,,$ in 000's,,,$ in 000's,,,$ in 000's,,,$ in 000's
,,,,Total (Sum),,,Total (Sum),,,Total (Sum),,,Total (Sum)
1,Number of institutions reporting,,instcnt,7357,,instcnt,7437,,instcnt,7513,,instcnt,7574
Past Due and Nonaccrual Assets,,,, ,,, ,,, ,,, 
2,Assets past due 30 - 89 days *,,p3asset,"101,188,068",,p3asset,"100,225,655",,p3asset,"102,704,793",,p3asset,"110,530,850"
3,"Loans secured by real estate, total",,p3re,"69,794,755",,p3re,"70,656,788",,p3re,"71,891,102",,p3re,"78,209,260"
4,To non-U.S. addressees,,p3renus,"490,529",,p3renus,"443,202",,p3renus,"488,310",,p3renus,"636,118"
5,Real estate loans in domestic offices,,idp3redm,"69,222,901",,idp3redm,"70,112,252",,idp3redm,"71,303,967",,idp3redm,"77,526,795"
6,Construction and land development,,p3recons,"3,295,518",,p3recons,"4,340,557",,p3recons,"4,510,347",,p3recons,"6,580,710"
7,"1-4 family residential construction	",,p3recnfm,"512,895",,p3recnfm,"558,180",,p3recnfm,"676,762",,p3recnfm,"1,062,812"
8,"Other construction, all land development and other land	",,p3recnot,"2,552,061",,p3recnot,"3,556,883",,p3recnot,"3,458,241",,p3recnot,"5,108,379"
9,Secured by farmland,,p3reag,"408,473",,p3reag,"404,942",,p3reag,"532,845",,p3reag,"691,701"
10,Secured by 1-4 family residential properties,,p3reres,"54,790,426",,p3reres,"54,204,785",,p3reres,"55,139,886",,p3reres,"55,996,397"
11,Secured by multifamily residential properties,,p3remult,"1,509,586",,p3remult,"1,367,145",,p3remult,"1,572,736",,p3remult,"2,119,091"
12,Secured by nonfarm nonresidential properties,,p3renres,"9,218,898",,p3renres,"9,794,823",,p3renres,"9,548,153",,p3renres,"12,138,896"
13,Owner-occupied non-farm non-residential,,p3renrow,"4,171,205",,p3renrow,"4,143,639",,p3renrow,"4,073,213",,p3renrow,"4,727,753"
14,Other non-farm non-residential,,p3renrot,"4,496,178",,p3renrot,"4,950,362",,p3renrot,"4,870,507",,p3renrot,"6,596,171"
15,Real estate loans in foreign offices,,p3refor,"571,854",,p3refor,"544,536",,p3refor,"587,135",,p3refor,"682,465"
16,Loans to depository institutions,,p3dep,"45,932",,p3dep,"21,178",,p3dep,"84,187",,p3dep,"109,171"
17,To foreign banks,,p3depnus,"45,747",,p3depnus,"20,028",,p3depnus,"75,028",,p3depnus,"107,000"
18,Loans to finance agricultural production and other loans to farmers,,p3ag,"125,538",,p3ag,"104,277",,p3ag,"153,628",,p3ag,"178,632"
19,Commercial and industrial loans,,p3ci,"5,973,702",,p3ci,"6,128,904",,p3ci,"6,515,750",,p3ci,"7,915,610"
20,To non-U.S. addressees,,p3cinus,"531,696",,p3cinus,"323,079",,p3cinus,"321,117",,p3cinus,"264,276"
21,Loans to individuals,,p3con,"22,653,316",,p3con,"21,940,071",,p3con,"21,589,775",,p3con,"21,845,317"
22,Credit cards,,p3crcd,"10,944,360",,p3crcd,"11,381,313",,p3crcd,"11,203,252",,p3crcd,"11,710,919"
23,Automobile loans,,p3auto,"5,017,792",,p3auto,"4,461,017",,p3auto,"4,349,530",,p3auto,"3,882,182"
24,Other consumer loans,,p3conoth,"6,691,164",,p3conoth,"6,097,741",,p3conoth,"6,036,993",,p3conoth,"6,252,216"
25,Loans to foreign governments and official institutions,,p3fg,0,,p3fg,0,,p3fg,0,,p3fg,0
26,Other loans,,p3othln,"1,754,920",,p3othln,"856,669",,p3othln,"1,980,870",,p3othln,"1,602,254"
27,Lease financing receivables,,p3ls,"554,287",,p3ls,"436,190",,p3ls,"411,081",,p3ls,"603,632"
28,Debt securities and other assets,,p3scdebt,"285,618",,p3scdebt,"81,578",,p3scdebt,"78,400",,p3scdebt,"66,974"
 ,Memoranda (included above): ,,,,,,,,,,,,
29,Loans to finance agricultural prod and other loans to farmers (small),,p3agsm,"99,564",,p3agsm,"98,611",,p3agsm,"133,500",,p3agsm,"243,556"
30,Loans held for sale,,p3lnsale,"1,813,142",,p3lnsale,"1,603,266",,p3lnsale,"901,696",,p3lnsale,"784,082"
31,"Loans and leases, wholly or partially guaranteed by the U.S. Government",,p3gtypar,"14,776,250",,p3gtypar,"13,952,419",,p3gtypar,"15,116,878",,p3gtypar,"12,633,994"
32,Loans and leases covered by FDIC loss-sharing agreements,,p3ltot,"3,285,970",,p3ltot,"3,404,261",,p3ltot,"3,821,548",,p3ltot,"4,340,262"
33,Assets past due 90 or more days,,p9asset,"134,322,424",,p9asset,"127,604,499",,p9asset,"122,661,987",,p9asset,"126,602,611"
34,"Loans secured by real estate, total",,p9re,"116,182,328",,p9re,"109,883,804",,p9re,"104,831,151",,p9re,"106,329,469"
35,To non-U.S. addressees,,p9renus,"203,361",,p9renus,"264,771",,p9renus,"274,811",,p9renus,"240,291"
36,Real estate loans in domestic offices,,idp9redm,"116,017,137",,idp9redm,"109,663,160",,idp9redm,"104,588,285",,idp9redm,"106,118,977"
37,Construction and land development,,p9recons,"5,362,263",,p9recons,"6,088,372",,p9recons,"5,914,781",,p9recons,"6,635,653"
38,"1-4 family residential construction	",,p9recnfm,"898,586",,p9recnfm,"1,039,531",,p9recnfm,"1,064,267",,p9recnfm,"1,313,340"
39,"Other construction, all land development and other land	",,p9recnot,"4,385,236",,p9recnot,"4,880,752",,p9recnot,"4,695,261",,p9recnot,"5,141,328"
40,Secured by farmland,,p9reag,"235,577",,p9reag,"290,929",,p9reag,"241,708",,p9reag,"201,247"
41,Secured by 1-4 family residential properties,,p9reres,"104,174,983",,p9reres,"96,988,940",,p9reres,"92,550,942",,p9reres,"93,752,631"
42,Secured by multifamily residential properties,,p9remult,"807,954",,p9remult,"883,938",,p9remult,"822,907",,p9remult,"867,805"
43,Secured by nonfarm nonresidential properties,,p9renres,"5,436,360",,p9renres,"5,410,981",,p9renres,"5,057,947",,p9renres,"4,661,641"
44,Owner-occupied non-farm non-residential,,p9renrow,"2,030,405",,p9renrow,"2,036,797",,p9renrow,"1,860,381",,p9renrow,"1,741,810"
45,Other non-farm non-residential,,p9renrot,"3,279,750",,p9renrot,"3,228,066",,p9renrot,"3,039,670",,p9renrot,"2,789,782"
46,Real estate loans in foreign offices,,p9refor,"165,191",,p9refor,"220,644",,p9refor,"242,866",,p9refor,"210,492"
47,Loans to depository institutions,,p9dep,"11,498",,p9dep,282,,p9dep,367,,p9dep,318
48,To foreign banks,,p9depnus,27,,p9depnus,0,,p9depnus,22,,p9depnus,14
49,Loans to finance agricultural production and other loans to farmers,,p9ag,"16,415",,p9ag,"46,159",,p9ag,"39,581",,p9ag,"31,720"
