"FDIC - Statistics on Depository Institutions Report"

"","","","","All Institutions - National","","","All Institutions - National","","","All Institutions - National","","","All Institutions - National",
"","","","","12/31/1996","","","12/31/1995","","","12/31/1994","","","12/31/1993",
"","","","","$ in 000's","","","$ in 000's","","","$ in 000's","","","$ in 000's",
"","","","","Total (Sum)","","","Total (Sum)","","","Total (Sum)","","","Total (Sum)",
"1","Number of institutions reporting","","instcnt","11454","","instcnt","11971","","instcnt","12604","","instcnt","13221",
"Past Due and Nonaccrual Assets","","",""," ","",""," ","",""," ","",""," ",
"2","Assets past due 30 - 89 days *","","p3asset","47,779,332","","p3asset","43,070,710","","p3asset","36,737,718","","p3asset","38,700,165",
"3","Loans secured by real estate, total","","p3re","24,082,213","","p3re","23,167,200","","p3re","20,790,911","","p3re","23,387,205",
"4","To non-U.S. addressees","","p3renus","340,376","","p3renus","446,039","","p3renus","327,919","","p3renus","338,384",
"5","Real estate loans in domestic offices","","idp3redm","23,714,695","","idp3redm","22,630,779","","idp3redm","20,348,953","","idp3redm","23,032,899",
"6","Construction and land development","","p3recons","1,558,364","","p3recons","1,253,527","","p3recons","1,274,706","","p3recons","1,841,774",
"7","1-4 family residential construction	","","p3recnfm","N/A","","p3recnfm","N/A","","p3recnfm","N/A","","p3recnfm","N/A",
"8","Other construction, all land development and other land	","","p3recnot","N/A","","p3recnot","N/A","","p3recnot","N/A","","p3recnot","N/A",
"9","Secured by farmland","","p3reag","288,199","","p3reag","243,027","","p3reag","225,498","","p3reag","191,260",
"10","Secured by 1-4 family residential properties","","p3reres","16,545,075","","p3reres","16,040,865","","p3reres","13,335,563","","p3reres","13,801,888",
"11","Secured by multifamily residential properties","","p3remult","827,192","","p3remult","866,241","","p3remult","1,110,317","","p3remult","1,312,330",
"12","Secured by nonfarm nonresidential properties","","p3renres","4,495,865","","p3renres","4,227,119","","p3renres","4,402,869","","p3renres","5,885,647",
"13","Owner-occupied non-farm non-residential","","p3renrow","N/A","","p3renrow","N/A","","p3renrow","N/A","","p3renrow","N/A",
"14","Other non-farm non-residential","","p3renrot","N/A","","p3renrot","N/A","","p3renrot","N/A","","p3renrot","N/A",
"15","Real estate loans in foreign offices","","p3refor","369,421","","p3refor","536,402","","p3refor","441,916","","p3refor","354,301",
"16","Loans to depository institutions","","p3dep","67,699","","p3dep","4,448","","p3dep","8,151","","p3dep","16,779",
"17","To foreign banks","","p3depnus","52,628","","p3depnus","3,214","","p3depnus","7,415","","p3depnus","8,024",
