"ASSET","DEP","NETINC","STNAME","TPD","YEAR"
16219706328,12468181063,152184632,"United States & Other Areas",105830699,"2017"
15627691877,11982312148,156984561,"United States & Other Areas",107003240,"2016"
14893189603,11349503567,151888582,"United States & Other Areas",113542465,"2015"
14474657532,10938732842,140189718,"United States & Other Areas",134262032,"2014"
13673056712,10385833653,143110234,"United States & Other Areas",160802005,"2013"
13387499239,10012097628,130041412,"United States & Other Areas",197325829,"2012"
12650468093,9258874267,110182982,"United States & Other Areas",218578920,"2011"
12069442602,8517722866,77427236,"United States & Other Areas",229682914,"2010"
11826781868,8336603049,-11619811,"United States & Other Areas",251462891,"2009"
12313141199,8085709986,15262023,"United States & Other Areas",202283447,"2008"
11181900787,7313861237,97639154,"United States & Other Areas",114678376,"2007"
10097741906,6735638819,128266630,"United States & Other Areas",78973321,"2006"
9046945908,6077508026,113965005,"United States & Other Areas",64471379,"2005"
8420099062,5596572154,104021848,"United States & Other Areas",57202202,"2004"
7601000415,5034669168,102566180,"United States & Other Areas",60999898,"2003"
7076844192,4689787744,89439142,"United States & Other Areas",63078890,"2002"
6552293846,4377557731,74131124,"United States & Other Areas",66339653,"2001"
6245559732,4179567486,70795046,"United States & Other Areas",58747606,"2000"
5735134597,3831058463,71527729,"United States & Other Areas",49271154,"1999"
5442603969,3681390727,61885315,"United States & Other Areas",51394497,"1998"
5018532250,3421663524,59159284,"United States & Other Areas",49265342,"1997"
4582164804,3197138558,52324224,"United States & Other Areas",48179368,"1996"
