"ASSET","BANKS","DEP","EINTEXP","INTINC","LNCON","LNRE","NETINC","STNAME","TPD","YEAR"
4651727,4,3472798,10089,185709,35123,1664322,53780,"Alaska",7175,"2011"
449683677,235,331003915,2252344,17551303,15142888,208604061,4212106,"California",3437273,"2011"
119582358,303,98757627,794436,4694560,4320157,47707735,877597,"Missouri",943278,"2011"
37139895,23,11935994,172292,2767159,19262737,6769332,1663865,"Nevada",667807,"2011"
73622010,58,48597502,935212,2835324,1358944,42019915,15121,"New Jersey",1348452,"2011"
653733790,118,478131308,2678438,13113827,11847405,109470262,5742525,"New York",3007240,"2011"
1714023674,68,1275822739,6787467,48371990,86996140,548799888,10289058,"North Carolina",54917711,"2011"
222605668,134,174724044,1285604,8452265,7643078,92463798,-1261060,"Alabama",2370758,"2011"
55635156,101,45004098,440749,2337823,2121925,24432993,485816,"Indiana",461605,"2011"
63017973,333,50656937,627557,2686088,1259102,24863995,666013,"Iowa",265214,"2011"
48877126,120,40847150,430351,2257066,2300095,24190481,234435,"Michigan",640626,"2011"
56523783,367,47936105,461382,2492782,1376071,24207076,394425,"Minnesota",396535,"2011"
2864026,7,2333257,27217,127380,11523,1709384,21147,"New Hampshire",8258,"2011"
2457902396,148,1675386831,11801393,67745650,158048069,492780315,20597003,"Ohio",32948613,"2011"
78353784,235,64503288,502955,3118964,2649678,27513406,780029,"Oklahoma",637562,"2011"
34031676,31,24076291,199525,1497531,203959,21035294,215275,"Oregon",312378,"2011"
79016687,237,63198918,650466,3281223,1529789,40273169,513773,"Wisconsin",505988,"2011"
7391220,34,6298074,48463,291330,232307,2558378,49814,"Wyoming",38420,"2011"
95519414,204,78019697,713000,3650763,1532057,48086416,-202029,"Florida",1670117,"2011"
261726482,226,207081168,1710410,10017056,22982435,111535193,421391,"Georgia",5182119,"2011"
7368960,17,5935014,48241,324970,92474,2990833,-23441,"Idaho",45583,"2011"
370165909,498,304812857,2065479,10857005,11126257,121948023,1470155,"Illinois",4055679,"2011"
52621024,178,42374346,503354,2414858,2049144,27698988,339326,"Kentucky",467491,"2011"
62299467,124,51062940,405877,2401562,2626102,25347743,446823,"Louisiana",540257,"2011"
241950339,25,186504325,575354,4061152,936439,15266942,2053061,"Massachusetts",98793,"2011"
56769690,84,46710946,429233,2421337,2028630,26878361,414099,"Mississippi",574819,"2011"
25463718,88,16695643,159735,1113849,2442136,8991258,330519,"North Dakota",212476,"2011"
128587385,130,101534109,999134,4857330,4698029,58778530,961419,"Pennsylvania",774693,"2011"
2493021260,78,1819689905,15514515,99367628,269937326,648179051,23951455,"South Dakota",61161547,"2011"
79408473,173,62861014,676360,3290152,2484848,37579783,195252,"Tennessee",900206,"2011"
474376771,101,338864398,3078025,21087314,106399566,94765243,5015636,"Virginia",7335769,"2011"
11961989,30,9963573,66145,526910,75656,6323259,44460,"Arizona",53171,"2011"
41092470,99,35543716,219202,1697032,441852,18070111,312763,"Colorado",214286,"2011"
837184311,20,546870663,4972816,54336228,333548248,126024935,15868163,"Delaware",17752202,"2011"
35163402,7,27428505,115004,1178230,1363314,11695652,410929,"Hawaii",132681,"2011"
49885090,304,40109644,407998,1961667,1523648,16728658,365364,"Kansas",247613,"2011"
21942497,70,17149491,138647,912349,939218,8766098,194331,"Montana",187428,"2011"
129524017,7,94215692,893169,4350426,12754232,57651199,589948,"Rhode Island",1077040,"2011"
31678694,59,26446429,247385,1291658,1189952,16204057,34831,"South Carolina",607404,"2011"
75017908,12,51975885,1059013,3812353,6486164,35268756,307942,"Other Areas",4515128,"2011"
40295840,58,32787097,277432,1819647,803318,19942602,210779,"Washington",357235,"2011"
57412895,122,46975586,457969,2513446,2252412,26707562,602526,"Arkansas",595697,"2011"
26461939,22,20338141,172099,1028639,108685,13139715,148747,"Connecticut",121010,"2011"
1534198,4,1242260,8454,66028,8568,895036,8623,"District of Columbia",7480,"2011"
19617077,8,15830578,100690,575451,96245,3504879,56890,"Maine",29852,"2011"
24839992,49,20191072,235168,1064873,369792,14738826,82528,"Maryland",296361,"2011"
50885939,207,39742912,441140,2514576,9023985,15108070,571584,"Nebraska",353471,"2011"
13701494,45,11575661,69286,600172,235044,6187671,74852,"New Mexico",51634,"2011"
330016795,552,268969062,1555339,12285016,6674338,130571947,3461966,"Texas",3152052,"2011"
314627128,51,222393926,2610227,12215896,88357277,34982726,5658012,"Utah",2564511,"2011"
4108196,9,3291637,23738,160764,43198,2236724,33064,"Vermont",31090,"2011"
25580704,58,20999499,226165,1068484,1082282,13400755,220292,"West Virginia",297132,"2011"
33656006,7,24773934,161671,1255106,1413781,11476857,146632,"Hawaii",175896,"2010"
56432464,132,47162565,528898,2585963,2526517,24176174,236267,"Louisiana",576700,"2010"
17274025,8,12079888,121502,686191,122251,3472191,48791,"Maine",31021,"2010"
68185647,243,53134273,582226,2959908,2695705,26015434,726037,"Oklahoma",461228,"2010"
81106700,176,63578474,931446,3602129,2693701,41262220,69012,"Tennessee",1026695,"2010"
79361743,13,51382863,1340922,3870989,6578603,36415244,-631214,"Other Areas",4527177,"2010"
3845578,9,3052563,29813,167177,49537,2154114,34585,"Vermont",34649,"2010"
13573658,39,11456995,120329,644979,110211,7570002,-144984,"Arizona",100186,"2010"
25314164,22,19747529,226947,1043176,105878,12535928,67263,"Connecticut",137092,"2010"
1626131,5,1301929,12146,73231,9713,900037,8699,"District of Columbia",25413,"2010"
102580915,220,83764213,1039914,4029774,2280141,55479387,-1328283,"Florida",1397169,"2010"
261860853,250,211283598,2575065,10653980,19419874,122373109,-1976133,"Georgia",4779286,"2010"
59296930,345,47530682,758807,2744814,1286272,23977588,506736,"Iowa",378167,"2010"
55657058,381,46597229,650987,2683866,1466218,25268901,168446,"Minnesota",484205,"2010"
58683484,87,47779150,619756,2618340,2279533,28360449,318659,"Mississippi",584522,"2010"
48068471,214,36786758,593401,2627666,8439623,15172257,548601,"Nebraska",426049,"2010"
1719427008,71,1215866900,9973677,53285160,86226500,570882315,9116046,"North Carolina",45868318,"2010"
23174009,90,14938931,212887,1098214,2404030,8106319,243346,"North Dakota",287221,"2010"
2244889544,148,1471865612,12019304,67721594,151921469,505250474,17208637,"Ohio",40164672,"2010"
30925936,63,25863027,380045,1376165,1155746,16543598,-52657,"South Carolina",460228,"2010"
443046171,104,307361673,4184397,23678942,99395063,95644084,4658871,"Virginia",8404601,"2010"
42646786,65,34871258,476983,1924461,875716,21787968,-349320,"Washington",482006,"2010"
128727481,242,102269255,1460760,5628821,2267524,64357583,-462341,"Wisconsin",1062285,"2010"
6981825,34,5957167,65562,304233,248370,2608593,39124,"Wyoming",44111,"2010"
45318623,107,39392130,417261,2027495,573471,21084514,-64379,"Colorado",438959,"2010"
55138567,102,44670993,633323,2521742,2331660,24783294,267865,"Indiana",430771,"2010"
50166129,311,40452672,602794,2193405,1656924,18339632,230419,"Kansas",441785,"2010"
49585777,123,41339037,642870,2412341,2388521,26182673,-321054,"Michigan",699889,"2010"
2784423,8,2236212,33058,125694,11553,1625566,-20484,"New Hampshire",10765,"2010"
287600492,53,205104212,3058228,11158979,79166129,39297001,3828619,"Utah",1981751,"2010"
24492063,60,20208627,314190,1150017,1126912,13193383,204622,"West Virginia",331035,"2010"
224105632,136,171629630,1882928,8897915,6498113,101014905,-475042,"Alabama",2907790,"2010"
4497063,4,3340749,13696,199350,34724,1687807,59012,"Alaska",10871,"2010"
55431836,124,45231317,600074,2497599,2562322,26522817,414231,"Arkansas",707964,"2010"
430592250,251,299326421,2895071,17300408,15041034,216773584,2038274,"California",4221943,"2010"
849493347,21,519567438,6382901,60634679,356668182,131572837,8526777,"Delaware",22920202,"2010"
294850707,527,238067680,2519848,9709313,10085263,102304956,627745,"Illinois",3165272,"2010"
23240675,48,18792119,284562,1069135,435798,13826524,-25851,"Maryland",335716,"2010"
63445727,62,47077296,746743,2553516,1449145,31536475,322187,"New Jersey",1125026,"2010"
127700134,135,99683643,1329080,5231408,5544884,60425607,849914,"Pennsylvania",939677,"2010"
132668350,7,88912621,1392350,5171960,14067772,63863175,386940,"Rhode Island",1393504,"2010"
312079484,567,251008804,2076622,13049692,7156810,130087518,2819121,"Texas",3537919,"2010"
6252672,16,4919754,59693,299797,102268,2845763,-58747,"Idaho",45776,"2010"
51671493,179,41704101,662129,2493321,2240963,27884077,406763,"Kentucky",528226,"2010"
181238088,26,124076375,773060,4462755,943591,13061255,2108662,"Massachusetts",104321,"2010"
113105257,308,92446869,1047454,4695336,4527658,48486860,552831,"Missouri",890136,"2010"
21672583,70,16871381,198230,968997,982279,9137875,135138,"Montana",186215,"2010"
1190610156,26,805494308,10717778,43540203,98901025,204392110,8894858,"Nevada",15747623,"2010"
17285581,48,14237734,138913,774219,285753,7825899,7801,"New Mexico",106575,"2010"
524302195,122,354657754,3275376,12296679,9886366,93094393,4501973,"New York",2096318,"2010"
37459876,31,19434789,287050,1775422,224371,24766345,386038,"Oregon",472157,"2010"
1286310835,79,927431734,7334506,65169308,206232117,473285828,11622183,"South Dakota",51985831,"2010"
52731347,128,42238017,773317,2523315,3012773,26048442,296047,"Arkansas",555990,"2009"
54451521,133,44399213,612580,2530957,2698262,24678529,384375,"Louisiana",717700,"2009"
41005674,225,33459047,645935,2096976,2716450,13849959,392859,"Nebraska",403054,"2009"
1194986487,34,784143861,13014994,47940144,119865924,228826932,-2919584,"Nevada",19040225,"2009"
2568428,8,2090207,43333,120554,12969,1543611,-46453,"New Hampshire",17893,"2009"
17540908,49,14205620,209207,846982,325077,8474049,-22702,"New Mexico",161074,"2009"
24482937,60,19574362,411142,1226824,1268590,13401625,186895,"West Virginia",312427,"2009"
14519487,42,12101448,225940,730155,158737,8466992,-452411,"Arizona",202262,"2009"
25536520,23,20474184,347792,1125367,105727,12812107,-73320,"Connecticut",197585,"2009"
1491293,5,1206607,12466,59723,13408,837897,5829,"District of Columbia",18797,"2009"
58439758,352,46278053,992909,2901282,1437106,24332844,386735,"Iowa",550487,"2009"
57778537,89,45763604,790061,2720775,2627457,29026889,236024,"Mississippi",791159,"2009"
744276685,80,549661813,4523409,35811866,69876156,274870157,7870820,"South Dakota",35102341,"2009"
51238225,79,41896819,953880,2602031,1246598,29106853,-1799392,"Washington",600873,"2009"
6609832,34,5633549,82126,313825,262974,2734079,67359,"Wyoming",72698,"2009"
4341052,4,3130643,18345,209854,39215,1703109,54123,"Alaska",25724,"2009"
56492093,104,44746208,858108,2684680,2663134,25720009,-101580,"Indiana",534336,"2009"
23645733,50,18921026,397420,1128465,496746,14215164,-80553,"Maryland",427874,"2009"
50966116,131,40996463,933048,2645070,2663138,28180133,-663077,"Michigan",822355,"2009"
20780728,71,16232499,258708,1037158,1058212,9571301,162386,"Montana",233934,"2009"
2219462679,74,1540835128,19030669,78356514,129876635,793126891,9517718,"North Carolina",66293658,"2009"
39901948,34,19777697,404716,2087916,262291,27689028,-152330,"Oregon",490237,"2009"
127948947,140,97025772,1878203,5627189,5467429,61534341,-465083,"Pennsylvania",1106025,"2009"
145175930,7,93894127,2119322,6429228,16330486,71931006,66870,"Rhode Island",1954487,"2009"
94093182,16,61491076,2300715,4841829,7258296,42914319,-863520,"Other Areas",3065716,"2009"
392683793,106,294330380,5036512,19801534,67894450,100134040,767636,"Virginia",8169860,"2009"
132201429,246,102361389,2031824,6083751,3617952,69955141,-715255,"Wisconsin",1455916,"2009"
239706923,144,180773242,2980483,9569194,8710898,114066110,-3039420,"Alabama",3826212,"2009"
408311711,271,287545434,4377247,17519346,14772316,199018871,-823721,"California",4531274,"2009"
47727501,135,40951246,664427,2380291,762936,23924930,-83192,"Colorado",522617,"2009"
714266823,24,479496450,5963950,45030073,233855242,134569332,-22855932,"Delaware",26592074,"2009"
263730436,287,204451666,3823123,11335184,18980742,127349840,-3453630,"Georgia",5133676,"2009"
6379757,16,5018519,78789,336956,119149,3212129,-80845,"Idaho",105362,"2009"
297158069,546,232336612,3832595,10863522,10959729,111997506,-515399,"Illinois",3151923,"2009"
15990920,8,9622436,153777,1252637,158311,3446436,746141,"Maine",44393,"2009"
178707108,28,113885590,817140,4349280,998931,12850809,-1579908,"Massachusetts",359370,"2009"
122530492,317,98566441,1747802,5439644,5552002,54593040,-323820,"Missouri",1078191,"2009"
21850491,92,13919544,279932,1081522,2360241,7726001,134969,"North Dakota",314405,"2009"
65462093,247,49806331,767990,3116621,3026275,26105645,556825,"Oklahoma",566904,"2009"
3727487,9,2962518,41738,177407,52209,2157941,29987,"Vermont",35292,"2009"
114431745,253,93302037,1832729,4980269,2795274,65639854,-2213190,"Florida",1675981,"2009"
32401492,7,24445059,244382,1402794,1679288,12447592,68180,"Hawaii",204409,"2009"
50213178,323,40445433,747527,2400512,2006420,19298303,92545,"Kansas",476008,"2009"
50661672,180,40486610,839261,2546450,2348760,27836705,237974,"Kentucky",608807,"2009"
56425829,391,46856041,894612,2865779,1607471,26762001,79914,"Minnesota",665961,"2009"
62324992,66,47846592,978434,2699229,1699243,30326487,342280,"New Jersey",848363,"2009"
484339747,128,328176545,4035321,12654761,9775199,84083978,2466223,"New York",2509845,"2009"
2215926735,149,1461816159,17250540,74957916,140294447,540964773,8052083,"Ohio",45315361,"2009"
48565847,67,39827548,793314,2238377,1599263,27727298,-985665,"South Carolina",703059,"2009"
83283831,178,62818122,1245409,3865840,2936753,44390662,-475336,"Tennessee",1288919,"2009"
316443913,581,234816630,3209010,14057493,7997996,136234584,1406147,"Texas",4850648,"2009"
