,Total Loans,Other Loans,Credit Cards,Real Estate,Total Past Due,Year
0,1545385232,245471027.0,102514993,598699606,40563426,1987
1,1721142435,257762209.0,116786672,673296777,41180485,1988
2,1916425835,266883392.0,130974399,759284022,48058033,1989
3,2051107237,266413460.0,132911283,825891247,58032820,1990
4,2084950358,250462590.0,138534024,847976872,52539038,1991
5,2111775832,247248620.0,135834552,864346330,43288016,1992
6,2252473295,263489524.0,153800967,917591402,35896675,1993
7,2465062054,296457862.0,187704654,990449769,34451707,1994
8,2677649123,314878416.0,217761817,1072504445,41434525,1995
9,2821841311,325319914.0,234598883,1130961257,47557076,1996
10,3031716977,324818725.0,233832040,1236533106,48603940,1997
11,3235768995,336906090.0,227938907,1335461999,50651159,1998
12,3549450194,341480122.0,210887298,1498541387,48568598,1999
13,3919508389,352174242.0,248052161,1659640993,58015216,2000
14,4190587278,357954399.0,265228007,1783702436,65464713,2001
15,4795756546,384948237.0,312577515,2049115397,62070487,2002
16,5261993738,411909417.0,352091709,2248996306,60210170,2003
17,6028383569,423645837.0,409519282,2597609225,56343275,2004
18,6743787530,436032918.0,394655962,2956549325,63321345,2005
19,7646172845,463509287.0,386946868,3397858345,77396242,2006
20,8224937926,514724399.0,436808501,3636702513,112628427,2007
21,8591246218,527310794.0,464770322,3799582551,199005998,2008
22,8533118449,527520436.0,443100601,3781248706,248397175,2009
23,8449075491,511660000.0,708858981,3614278255,225155737,2010
24,8230546997,798350225.0,687774531,3511990650,214063792,2011
