,Auto Loans,Total Loans,Other Loans,Credit Cards,Real Estate,State,Total Past Due,Year
0,6386.0,35123,21178,7559,1664322,Alaska,7175,2011
1,4014047.0,15142888,10076944,1051897,208604061,California,3437273,2011
2,1324845.0,4320157,1742526,1252786,47707735,Missouri,943278,2011
3,43173.0,19262737,43937,19175627,6769332,Nevada,667807,2011
4,808687.0,1358944,387775,162482,42019915,New Jersey,1348452,2011
5,5448489.0,11847405,5728851,670065,109470262,New York,3007240,2011
6,39410909.0,86996140,26594975,20990256,548799888,North Carolina,54917711,2011
7,3434944.0,7643078,2050538,2157596,92463798,Alabama,2370758,2011
8,1187960.0,2121925,823734,110231,24432993,Indiana,461605,2011
9,638412.0,1259102,529789,90901,24863995,Iowa,265214,2011
10,462382.0,2300095,1774025,63688,24190481,Michigan,640626,2011
11,537373.0,1376071,696972,141726,24207076,Minnesota,396535,2011
12,1450.0,11523,9172,901,1709384,New Hampshire,8258,2011
13,69935915.0,158048069,37531580,50580574,492780315,Ohio,32948613,2011
14,1301462.0,2649678,1260677,87539,27513406,Oklahoma,637562,2011
15,25195.0,203959,76713,102051,21035294,Oregon,312378,2011
16,326926.0,1529789,1025828,177035,40273169,Wisconsin,505988,2011
17,116740.0,232307,97426,18141,2558378,Wyoming,38420,2011
18,396440.0,1532057,774847,360770,48086416,Florida,1670117,2011
19,10787380.0,22982435,10131050,2064005,111535193,Georgia,5182119,2011
20,19717.0,92474,39581,33176,2990833,Idaho,45583,2011
21,6264438.0,11126257,3770466,1091353,121948023,Illinois,4055679,2011
22,974930.0,2049144,979300,94914,27698988,Kentucky,467491,2011
23,1340294.0,2626102,1008530,277278,25347743,Louisiana,540257,2011
24,537431.0,936439,368279,30729,15266942,Massachusetts,98793,2011
25,894513.0,2028630,927158,206959,26878361,Mississippi,574819,2011
26,383307.0,2442136,1035400,1023429,8991258,North Dakota,212476,2011
27,1875488.0,4698029,2333214,489327,58778530,Pennsylvania,774693,2011
28,42428814.0,269937326,52794601,174713911,648179051,South Dakota,61161547,2011
29,1079251.0,2484848,1160138,245459,37579783,Tennessee,900206,2011
30,22114921.0,106399566,3121707,81162938,94765243,Virginia,7335769,2011
31,18498.0,75656,39513,17645,6323259,Arizona,53171,2011
32,113082.0,441852,161387,167383,18070111,Colorado,214286,2011
33,16224654.0,333548248,25100132,292223462,126024935,Delaware,17752202,2011
34,678402.0,1363314,251714,433198,11695652,Hawaii,132681,2011
35,772869.0,1523648,533150,217629,16728658,Kansas,247613,2011
36,424948.0,939218,407454,106816,8766098,Montana,187428,2011
37,7448861.0,12754232,3582571,1722800,57651199,Rhode Island,1077040,2011
38,712611.0,1189952,348228,129113,16204057,South Carolina,607404,2011
39,2768831.0,6486164,1911457,1805876,35268756,Other Areas,4515128,2011
40,269529.0,803318,324847,208942,19942602,Washington,357235,2011
41,707943.0,2252412,1108951,435518,26707562,Arkansas,595697,2011
42,19400.0,108685,46665,42620,13139715,Connecticut,121010,2011
43,1624.0,8568,2340,4604,895036,District of Columbia,7480,2011
44,21884.0,96245,62376,11985,3504879,Maine,29852,2011
45,101717.0,369792,225007,43068,14738826,Maryland,296361,2011
46,847163.0,9023985,982763,7194059,15108070,Nebraska,353471,2011
47,89790.0,235044,117989,27265,6187671,New Mexico,51634,2011
48,2553389.0,6674338,3308716,812233,130571947,Texas,3152052,2011
49,29903883.0,88357277,33172954,25280440,34982726,Utah,2564511,2011
50,8120.0,43198,28896,6182,2236724,Vermont,31090,2011
51,518473.0,1082282,509543,54266,13400755,West Virginia,297132,2011
52,,1413781,942729,471052,11476857,Hawaii,175896,2010
53,,2526517,2296088,230429,24176174,Louisiana,576700,2010
54,,122251,109864,12387,3472191,Maine,31021,2010
55,,2695705,2629272,66433,26015434,Oklahoma,461228,2010
56,,2693701,2437791,255910,41262220,Tennessee,1026695,2010
57,,6578603,4821426,1757177,36415244,Other Areas,4527177,2010
58,,49537,43121,6416,2154114,Vermont,34649,2010
59,,110211,65139,45072,7570002,Arizona,100186,2010
60,,105878,63459,42419,12535928,Connecticut,137092,2010
61,,9713,4699,5014,900037,District of Columbia,25413,2010
62,,2280141,1925473,354668,55479387,Florida,1397169,2010
63,,19419874,17336245,2083629,122373109,Georgia,4779286,2010
64,,1286272,1188403,97869,23977588,Iowa,378167,2010
65,,1466218,1295052,171166,25268901,Minnesota,484205,2010
66,,2279533,2059088,220445,28360449,Mississippi,584522,2010
67,,8439623,2029927,6409696,15172257,Nebraska,426049,2010
68,,86226500,68486245,17740255,570882315,North Carolina,45868318,2010
69,,2404030,1411553,992477,8106319,North Dakota,287221,2010
70,,151921469,109061397,42860072,505250474,Ohio,40164672,2010
71,,1155746,1026731,129015,16543598,South Carolina,460228,2010
72,,99395063,22091273,77303790,95644084,Virginia,8404601,2010
73,,875716,625140,250576,21787968,Washington,482006,2010
74,,2267524,1942426,325098,64357583,Wisconsin,1062285,2010
75,,248370,230745,17625,2608593,Wyoming,44111,2010
76,,573471,406683,166788,21084514,Colorado,438959,2010
77,,2331660,2220818,110842,24783294,Indiana,430771,2010
78,,1656924,1438126,218798,18339632,Kansas,441785,2010
79,,2388521,2307758,80763,26182673,Michigan,699889,2010
80,,11553,10496,1057,1625566,New Hampshire,10765,2010
81,,79166129,56740958,22425171,39297001,Utah,1981751,2010
82,,1126912,1076574,50338,13193383,West Virginia,331035,2010
83,,6498113,5429548,1068565,101014905,Alabama,2907790,2010
84,,34724,26565,8159,1687807,Alaska,10871,2010
85,,2562322,2128254,434068,26522817,Arkansas,707964,2010
86,,15041034,13912210,1128824,216773584,California,4221943,2010
87,,356668182,28502796,328165386,131572837,Delaware,22920202,2010
88,,10085263,9357470,727793,102304956,Illinois,3165272,2010
89,,435798,400767,35031,13826524,Maryland,335716,2010
90,,1449145,1321236,127909,31536475,New Jersey,1125026,2010
91,,5544884,5018499,526385,60425607,Pennsylvania,939677,2010
92,,14067772,12307167,1760605,63863175,Rhode Island,1393504,2010
93,,7156810,6389410,767400,130087518,Texas,3537919,2010
94,,102268,67748,34520,2845763,Idaho,45776,2010
95,,2240963,2142668,98295,27884077,Kentucky,528226,2010
96,,943591,919554,24037,13061255,Massachusetts,104321,2010
97,,4527658,3239228,1288430,48486860,Missouri,890136,2010
98,,982279,878595,103684,9137875,Montana,186215,2010
99,,98901025,38439137,60461888,204392110,Nevada,15747623,2010
100,,285753,251220,34533,7825899,New Mexico,106575,2010
101,,9886366,9355503,530863,93094393,New York,2096318,2010
102,,224371,117503,106868,24766345,Oregon,472157,2010
103,,206232117,67951649,138280468,473285828,South Dakota,51985831,2010
104,,3012773,2597428,415345,26048442,Arkansas,555990,2009
105,,2698262,2471599,226663,24678529,Louisiana,717700,2009
106,,2716450,2113301,603149,13849959,Nebraska,403054,2009
107,,119865924,64137301,55728623,228826932,Nevada,19040225,2009
108,,12969,11984,985,1543611,New Hampshire,17893,2009
109,,325077,289782,35295,8474049,New Mexico,161074,2009
110,,1268590,1214551,54039,13401625,West Virginia,312427,2009
111,,158737,110346,48391,8466992,Arizona,202262,2009
112,,105727,66250,39477,12812107,Connecticut,197585,2009
113,,13408,9564,3844,837897,District of Columbia,18797,2009
114,,1437106,1294927,142179,24332844,Iowa,550487,2009
115,,2627457,2401772,225685,29026889,Mississippi,791159,2009
116,,69876156,31545148,38331008,274870157,South Dakota,35102341,2009
