,GDP,Quarter
0,56.621,1989Q2
1,57.041,1989Q3
2,57.153,1989Q4
3,57.778,1990Q1
4,57.988,1990Q2
5,58.026,1990Q3
6,57.498,1990Q4
7,57.229,1991Q1
8,57.675,1991Q2
9,57.967,1991Q3
10,58.169,1991Q4
11,58.865,1992Q1
12,59.503,1992Q2
13,60.091,1992Q3
14,60.718,1992Q4
15,60.820,1993Q1
16,61.174,1993Q2
17,61.466,1993Q3
18,62.302,1993Q4
19,62.906,1994Q1
20,63.759,1994Q2
21,64.131,1994Q3
22,64.866,1994Q4
23,65.096,1995Q1
24,65.290,1995Q2
25,65.846,1995Q3
26,66.293,1995Q4
27,66.789,1996Q1
28,67.903,1996Q2
29,68.513,1996Q3
30,69.224,1996Q4
31,69.671,1997Q1
32,70.829,1997Q2
33,71.715,1997Q3
34,72.331,1997Q4
35,73.054,1998Q1
36,73.730,1998Q2
37,74.653,1998Q3
38,75.860,1998Q4
39,76.578,1999Q1
40,77.167,1999Q2
41,78.177,1999Q3
42,79.506,1999Q4
43,79.794,2000Q1
44,81.255,2000Q2
45,81.363,2000Q3
46,81.870,2000Q4
47,81.637,2001Q1
48,82.114,2001Q2
49,81.773,2001Q3
50,81.996,2001Q4
51,82.713,2002Q1
52,83.214,2002Q2
53,83.584,2002Q3
54,83.713,2002Q4
55,84.178,2003Q1
56,84.902,2003Q2
57,86.344,2003Q3
58,87.335,2003Q4
59,91.200,2005Q1
60,91.621,2005Q2
61,92.437,2005Q3
62,93.021,2005Q4
63,94.258,2006Q1
64,94.479,2006Q2
65,94.625,2006Q3
66,95.431,2006Q4
67,95.655,2007Q1
68,96.203,2007Q2
69,96.726,2007Q3
70,97.314,2007Q4
71,96.755,2008Q1
72,97.254,2008Q2
73,96.728,2008Q3
74,94.635,2008Q4
75,93.572,2009Q1
76,93.438,2009Q2
