"","","","","All Institutions - National","","","All Institutions - National","","","All Institutions - National","","","All Institutions - National",
"","","","","9/30/2018","","","6/30/2018","","","3/31/2018","","","12/31/2017",
"","","","","$ in 000's","","","$ in 000's","","","$ in 000's","","","$ in 000's",
"","","","","Total (Sum) and Average (W)","","","Total (Sum) and Average (W)","","","Total (Sum) and Average (W)","","","Total (Sum) and Average (W)",
"1","Number of institutions reporting","","instcnt","5477","","instcnt","5542","","instcnt","5607","","instcnt","5670",
"     Past Due and Nonaccrual Assets",
"2","Assets past due 30-89 days","","p3asset","63,299,064","","p3asset","59,448,864","","p3asset","63,357,756","","p3asset","67,700,799",
"3","Loans secured by real estate, total past due 30  -  89 days","","p3re","29,710,438","","p3re","28,580,713","","p3re","31,577,198","","p3re","34,012,628",
"4","To non-U.S. addressees, past due 30  -  89 days","","p3renus","279,222","","p3renus","235,425","","p3renus","261,138","","p3renus","210,366",
"5","Real estate loans in domestic offices, past due 30  -  89 days","","idp3redm","29,489,923","","idp3redm","28,423,092","","idp3redm","31,389,165","","idp3redm","33,834,515",
"6","Construction and land development, past due 30  -  89 days","","p3recons","1,294,539","","p3recons","1,113,266","","p3recons","1,303,321","","p3recons","1,171,240",
"7","1-4 family residential construction loans past due 30 through 89 days","","p3recnfm","380,814","","p3recnfm","284,540","","p3recnfm","306,842","","p3recnfm","342,769",
"8","Other construction all land development and other land loans past due 30-89 days","","p3recnot","913,725","","p3recnot","828,726","","p3recnot","996,479","","p3recnot","828,471",
"9","Secured by farmland, past due 30  -  89 days","","p3reag","457,467","","p3reag","542,279","","p3reag","708,408","","p3reag","448,766",
"10","Secured by 1-4 family residential properties, past due 30  -  89 days","","p3reres","23,914,536","","p3reres","23,029,877","","p3reres","24,460,312","","p3reres","28,180,147",
"11","Secured by multifamily residential properties, past due 30  -  89 days","","p3remult","371,944","","p3remult","396,364","","p3remult","463,156","","p3remult","488,165",
"12","Secured by nonfarm nonresidential properties, past due 30  -  89 days","","p3renres","3,451,437","","p3renres","3,341,306","","p3renres","4,453,968","","p3renres","3,546,197",
"13","Secured by owner-occupied nonfarm nonresidential properties, past due 30-89 days","","p3renrow","1,810,471","","p3renrow","1,553,319","","p3renrow","2,270,603","","p3renrow","1,846,601",
"14","Secured by other nonfarm nonresidential properties, past due 30-89 days","","p3renrot","1,640,966","","p3renrot","1,787,987","","p3renrot","2,183,365","","p3renrot","1,699,596",
"15","Commercial and industrial loans, past due 30 - 89 days","","p3ci","5,787,777","","p3ci","6,376,188","","p3ci","5,969,742","","p3ci","5,582,674",
"16","Credit cards and related plans, past due 30 - 89 days","","p3crcd","11,943,666","","p3crcd","10,319,233","","p3crcd","10,464,490","","p3crcd","11,531,157",
"17","30-89 Days P/D Auto Loans","","p3auto","9,338,105","","p3auto","8,361,233","","p3auto","7,770,905","","p3auto","9,768,308",
"18","30-89 Days P/D-Other Consumer","","p3conoth","3,350,003","","p3conoth","3,148,729","","p3conoth","3,345,155","","p3conoth","3,542,394",
"19","Loans secured by real estate, total in nonaccrual status","","nare","39,580,676","","nare","41,248,856","","nare","42,886,090","","nare","43,076,995",
